#TrigId,#TrigTime,#Col,#Row,#ToA,#ToT[arb],#ToTtotal[arb],#Trig-ToA[arb],#Centroid,#cent_X,#cent_Y,#centStdev_X,#centStdev_Y,#centStdev_ToA,
1,1822443162581,133,144,1843908525568,300,300,21465362987,1,133.500000,144.500000,0.500000,0.500000,0,
1,1822443162581,177,193,1843912163072,275,275,21469000491,1,177.500000,193.500000,0.500000,0.500000,0,
1,1822443162581,177,165,1844046216192,150,150,21603053611,1,177.500000,165.500000,0.500000,0.500000,0,
1,1822443162581,177,155,1844091634944,175,175,21648472363,1,177.500000,155.500000,0.500000,0.500000,0,
1,1822443162581,147,168,1844217565952,25,25,21774403371,1,147.500000,168.500000,0.500000,0.500000,0,
1,1822443162581,164,150,1844265072896,125,125,21821910315,1,164.500000,150.500000,0.500000,0.500000,0,
1,1822443162581,155,158,1844327315968,300,300,21884153387,1,155.500000,158.500000,0.500000,0.500000,0,
1,1822443162581,149,154,1844330580992,75,75,21887418411,1,149.500000,154.500000,0.500000,0.500000,0,
1,1822443162581,172,152,1844333599744,400,400,21890437163,1,172.500000,152.500000,0.500000,0.500000,0,
1,1822443162581,141,191,1844355211264,100,100,21912048683,1,141.500000,191.500000,0.500000,0.500000,0,
1,1822443162581,162,142,1844370637568,350,350,21927474987,1,162.500000,142.500000,0.500000,0.500000,0,
1,1822443162581,150,188,1844371761152,225,225,21928598571,1,150.500000,188.500000,0.500000,0.500000,0,
1,1822443162581,157,188,1844395473920,275,275,21952311339,1,157.500000,188.500000,0.500000,0.500000,0,
1,1822443162581,139,170,1844414189568,475,475,21971026987,1,139.500000,170.500000,0.500000,0.500000,0,
1,1822443162581,174,157,1844421703680,275,275,21978541099,1,174.500000,157.500000,0.500000,0.500000,0,
1,1822443162581,125,170,1844430881280,75,75,21987718699,1,125.500000,170.500000,0.500000,0.500000,0,
1,1822443162581,124,151,1844446370560,250,250,22003207979,1,124.500000,151.500000,0.500000,0.500000,0,
1,1822443162581,140,180,1844451755776,50,50,22008593195,1,140.500000,180.500000,0.500000,0.500000,0,
1,1822443162581,147,147,1844451885824,100,100,22008723243,1,147.500000,147.500000,0.500000,0.500000,0,
1,1822443162581,172,163,1844457242624,75,75,22014080043,1,172.500000,163.500000,0.500000,0.500000,0,
1,1822443162581,122,167,1844486366208,275,275,22043203627,1,122.500000,167.500000,0.500000,0.500000,0,
